phase_order,tab,component_id,component_name,decision_role,current_status,free_proof_feasibility,free_source_stack,main_blocker,impact_on_final_result,bias_if_ignored,legal_fallback,next_action
11,MACRO & REGIME,MR04,Physical / Transaction Reality,Reality confirmation,PARTIAL_FREE,PARTIAL,"BLS, BEA, Census, FRED/ALFRED, BIS, central banks, Treasury","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
12,MACRO & REGIME,MR05,Growth Nowcast & Breadth,Growth prior,UNPROVEN,PARTIAL,"BLS, BEA, Census, FRED/ALFRED, BIS, central banks, Treasury",Formula/OOS result absent,Narrative only; no predictive claim,Overclaim / leakage / survivorship / proxy substitution,Concept mapped; formula and OOS result absent.,Register simple baseline and falsifiable target
13,MACRO & REGIME,MR06,Inflation Pipeline & Breadth,Inflation prior,PARTIAL_FREE,PARTIAL,"BLS, BEA, Census, FRED/ALFRED, BIS, central banks, Treasury","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
14,MACRO & REGIME,MR07,Labor & Income State,Labor prior,PARTIAL_FREE,PARTIAL,"BLS, BEA, Census, FRED/ALFRED, BIS, central banks, Treasury","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
15,MACRO & REGIME,MR08,Consensus & Surprise Engine,Expectation error,BLOCKED_STRICT_PIT,LOW,"BLS, BEA, Census, FRED/ALFRED, BIS, central banks, Treasury",Free history does not prove pre-release snapshot immutability,Surprise and reaction claims have exploratory ceiling,Overclaim / leakage / survivorship / proxy substitution,Historical free substitute is not strict PIT.,Use expectation-free targets or start prospective snapshots
16,MACRO & REGIME,MR09,Policy Reaction Function,Policy-path prior,UNPROVEN,PARTIAL,"BLS, BEA, Census, FRED/ALFRED, BIS, central banks, Treasury",Formula/OOS result absent,Narrative only; no predictive claim,Overclaim / leakage / survivorship / proxy substitution,Concept mapped; formula and OOS result absent.,Register simple baseline and falsifiable target
17,MACRO & REGIME,MR10,Global / Regional Regime Matrix,Cross-country prior,UNPROVEN,PARTIAL,"BLS, BEA, Census, FRED/ALFRED, BIS, central banks, Treasury",Formula/OOS result absent,Narrative only; no predictive claim,Overclaim / leakage / survivorship / proxy substitution,Concept mapped; formula and OOS result absent.,Register simple baseline and falsifiable target
18,MACRO & REGIME,MR11,Balance-Sheet Liquidity Supply,Liquidity supply state,PARTIAL_FREE,PARTIAL,"BLS, BEA, Census, FRED/ALFRED, BIS, central banks, Treasury","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
19,MACRO & REGIME,MR12,Funding Plumbing Stress,Funding fragility,PARTIAL_FREE,PARTIAL,"BLS, BEA, Census, FRED/ALFRED, BIS, central banks, Treasury","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
20,MACRO & REGIME,MR13,Bank Credit Impulse,Bank transmission,PARTIAL_FREE,PARTIAL,"BLS, BEA, Census, FRED/ALFRED, BIS, central banks, Treasury","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
21,MACRO & REGIME,MR14,Market Credit / Refinancing Wall,Market-credit transmission,PARTIAL_FREE,PARTIAL,"BLS, BEA, Census, FRED/ALFRED, BIS, central banks, Treasury","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
22,MACRO & REGIME,MR15,Fiscal Liquidity / Debt Management,Fiscal cash-flow effect,PARTIAL_FREE,PARTIAL,"BLS, BEA, Census, FRED/ALFRED, BIS, central banks, Treasury","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
23,MACRO & REGIME,MR16,Liquidity-Credit Jury,Combine without universal risk score,UNPROVEN,PARTIAL,"BLS, BEA, Census, FRED/ALFRED, BIS, central banks, Treasury",Formula/OOS result absent,Narrative only; no predictive claim,Overclaim / leakage / survivorship / proxy substitution,Concept mapped; formula and OOS result absent.,Register simple baseline and falsifiable target
24,EARLY WARNING,EW01,Vulnerability Matrix,"Precondition, not timing",PARTIAL_FREE,PARTIAL,"FRED/ALFRED, FINRA, CFTC, market prices, official policy data","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
25,EARLY WARNING,EW02,Trigger Detector,Identify catalyst activation,UNPROVEN,PARTIAL,"FRED/ALFRED, FINRA, CFTC, market prices, official policy data",Formula/OOS result absent,Narrative only; no predictive claim,Overclaim / leakage / survivorship / proxy substitution,Concept mapped; formula and OOS result absent.,Register simple baseline and falsifiable target
26,EARLY WARNING,EW03,Cascade & Transmission State,Track propagation,UNPROVEN,PARTIAL,"FRED/ALFRED, FINRA, CFTC, market prices, official policy data",Formula/OOS result absent,Narrative only; no predictive claim,Overclaim / leakage / survivorship / proxy substitution,Concept mapped; formula and OOS result absent.,Register simple baseline and falsifiable target
27,EARLY WARNING,EW04,Damage & Rescue Capacity,Estimate shock absorption,PARTIAL_FREE,PARTIAL,"FRED/ALFRED, FINRA, CFTC, market prices, official policy data","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
28,EARLY WARNING,EW05,Panic & Exhaustion,Detect forced selling/exhaustion,UNPROVEN,PARTIAL,"FRED/ALFRED, FINRA, CFTC, market prices, official policy data",Formula/OOS result absent,Narrative only; no predictive claim,Overclaim / leakage / survivorship / proxy substitution,Concept mapped; formula and OOS result absent.,Register simple baseline and falsifiable target
29,EARLY WARNING,EW06,Reversal Acceptance & Durability,V/W/dead-cat distinction,UNPROVEN,PARTIAL,"FRED/ALFRED, FINRA, CFTC, market prices, official policy data",Formula/OOS result absent,Narrative only; no predictive claim,Overclaim / leakage / survivorship / proxy substitution,Concept mapped; formula and OOS result absent.,Register simple baseline and falsifiable target
30,ALPHA,AL01,Open-Universe Candidate Generator,Generate candidates without known-winner seeds,BLOCKED_SELECTOR,PARTIAL,"SEC EDGAR/XBRL, filings, USAspending, SAM.gov, market data",No proven component set or selector tournament,Cannot produce trustworthy Top-K,Overclaim / leakage / survivorship / proxy substitution,Requires proven components and selector results.,Wait for market-specific component and selector gates
31,ALPHA,AL02,Revenue Purity & Direct Exposure,Link theme to listed revenue,PARTIAL_FREE,PARTIAL,"SEC EDGAR/XBRL, filings, USAspending, SAM.gov, market data","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
32,ALPHA,AL03,Demand / Backlog / Pricing,Demand capture,PARTIAL_FREE,PARTIAL,"SEC EDGAR/XBRL, filings, USAspending, SAM.gov, market data","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
33,ALPHA,AL04,Revisions / Margins / Cash Capture,Earnings and cash transmission,PARTIAL_FREE,PARTIAL,"SEC EDGAR/XBRL, filings, USAspending, SAM.gov, market data","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
34,ALPHA,AL05,Expectation Gap & Remaining Move,Mispricing and unfinished move,UNPROVEN,PARTIAL,"SEC EDGAR/XBRL, filings, USAspending, SAM.gov, market data",Formula/OOS result absent,Narrative only; no predictive claim,Overclaim / leakage / survivorship / proxy substitution,Concept mapped; formula and OOS result absent.,Register simple baseline and falsifiable target
35,ALPHA,AL06,Fragility / Dilution / Capacity,Failure and capacity control,PARTIAL_FREE,PARTIAL,"SEC EDGAR/XBRL, filings, USAspending, SAM.gov, market data","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
36,ALPHA,AL07,Competitive Top-K & Exclusion Ledger,Selector and opportunity cost,BLOCKED_SELECTOR,PARTIAL,"SEC EDGAR/XBRL, filings, USAspending, SAM.gov, market data",No proven component set or selector tournament,Cannot produce trustworthy Top-K,Overclaim / leakage / survivorship / proxy substitution,Requires proven components and selector results.,Wait for market-specific component and selector gates
37,US STOCKS,US01,PIT Universe & Delist Lineage,Avoid survivor bias,PARTIAL_FREE,PARTIAL,"SEC EDGAR, SEC datasets, FINRA, Nasdaq Trader, daily prices","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
38,US STOCKS,US02,Sector / Industry Transmission,Localize macro and bottleneck effects,PARTIAL_FREE,PARTIAL,"SEC EDGAR, SEC datasets, FINRA, Nasdaq Trader, daily prices","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
39,US STOCKS,US03,Financial Quality & Acceleration,Fundamental predictive components,READY_FREE,FULL,"SEC EDGAR, SEC datasets, FINRA, Nasdaq Trader, daily prices",Historical free panel and tournament not yet assembled,Component remains unproven,Overclaim / leakage / survivorship / proxy substitution,Free data sufficient to run a historical component test.,Build PIT-approximate panel and run baseline/component WFA
40,US STOCKS,US04,Ownership / Insider / Short State,Flow and crowding components,READY_FREE,FULL,"SEC EDGAR, SEC datasets, FINRA, Nasdaq Trader, daily prices",Historical free panel and tournament not yet assembled,Component remains unproven,Overclaim / leakage / survivorship / proxy substitution,Free data sufficient to run a historical component test.,Build PIT-approximate panel and run baseline/component WFA
41,US STOCKS,US05,Guidance / Text / Backlog State,Expectation-free company signal,READY_FREE,FULL,"SEC EDGAR, SEC datasets, FINRA, Nasdaq Trader, daily prices",Historical free panel and tournament not yet assembled,Component remains unproven,Overclaim / leakage / survivorship / proxy substitution,Free data sufficient to run a historical component test.,Build PIT-approximate panel and run baseline/component WFA
42,US STOCKS,US06,Competitive Top-K Selector,Cross-sectional ticker ranking,BLOCKED_TEST,PARTIAL,"SEC EDGAR, SEC datasets, FINRA, Nasdaq Trader, daily prices",Frozen panel/component tournament not executed,No selector or alpha claim,Overclaim / leakage / survivorship / proxy substitution,"Inputs can be built, but tournament has not been run.",Execute after data panel and target freeze
43,US STOCKS,US07,US Opportunity Receipt,Timestamped why-in/out and first alert,BLOCKED_SELECTOR,PARTIAL,"SEC EDGAR, SEC datasets, FINRA, Nasdaq Trader, daily prices",No proven component set or selector tournament,Cannot produce trustworthy Top-K,Overclaim / leakage / survivorship / proxy substitution,Requires proven components and selector results.,Wait for market-specific component and selector gates
44,IHSG,ID01,Historical IDX Universe,Avoid survivor bias,PARTIAL_FREE,PARTIAL,"IDX, KSEI, issuer filings, OJK/BI/BPS, daily prices","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
45,IHSG,ID02,Corporate Actions / Rights / Suspension,Correct returns and eligibility,PARTIAL_FREE,PARTIAL,"IDX, KSEI, issuer filings, OJK/BI/BPS, daily prices","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
46,IHSG,ID03,KSEI Local-Foreign Ownership,Ownership-flow proxy,READY_FREE,FULL,"IDX, KSEI, issuer filings, OJK/BI/BPS, daily prices",Historical free panel and tournament not yet assembled,Component remains unproven,Overclaim / leakage / survivorship / proxy substitution,Free data sufficient to run a historical component test.,Build PIT-approximate panel and run baseline/component WFA
47,IHSG,ID04,Net Foreign Flow Quality,Distinguish persistent flow,PARTIAL_FREE,PARTIAL,"IDX, KSEI, issuer filings, OJK/BI/BPS, daily prices","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
48,IHSG,ID05,Broker Persistence / Cross-Trade,Accumulation/manipulation component,BLOCKED_BROKER_HISTORY,LOW,"IDX, KSEI, issuer filings, OJK/BI/BPS, daily prices",No clean free historical broker-by-broker panel,Broker persistence edge cannot be proven; IHSG selector can still be tested without it,Overclaim / leakage / survivorship / proxy substitution,No clean free historical broker identity panel.,Use KSEI ownership/foreign/impact proxy; keep broker component excluded
49,IHSG,ID06,Listed Value-Capture Chain,Project to issuer cash flow,PARTIAL_FREE,PARTIAL,"IDX, KSEI, issuer filings, OJK/BI/BPS, daily prices","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
50,IHSG,ID07,IHSG Long-Only Selector,Top-K long-only ranking,BLOCKED_TEST,PARTIAL,"IDX, KSEI, issuer filings, OJK/BI/BPS, daily prices",Frozen panel/component tournament not executed,No selector or alpha claim,Overclaim / leakage / survivorship / proxy substitution,"Inputs can be built, but tournament has not been run.",Execute after data panel and target freeze
51,CRYPTO,CR01,Lifecycle / Token Universe,Avoid dead-token and lifecycle bias,PARTIAL_FREE,PARTIAL,"DefiLlama, public chain data, Binance Data Vision, protocol disclosures","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
52,CRYPTO,CR02,Protocol Activity,"Users, transactions and usage",READY_FREE,FULL,"DefiLlama, public chain data, Binance Data Vision, protocol disclosures",Historical free panel and tournament not yet assembled,Component remains unproven,Overclaim / leakage / survivorship / proxy substitution,Free data sufficient to run a historical component test.,Build PIT-approximate panel and run baseline/component WFA
53,CRYPTO,CR03,Token-Holder Value Capture,Fees/revenue to token holders,PARTIAL_FREE,PARTIAL,"DefiLlama, public chain data, Binance Data Vision, protocol disclosures","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
54,CRYPTO,CR04,Stablecoin / Venue Liquidity,Liquidity impulse,READY_FREE,FULL,"DefiLlama, public chain data, Binance Data Vision, protocol disclosures",Historical free panel and tournament not yet assembled,Component remains unproven,Overclaim / leakage / survivorship / proxy substitution,Free data sufficient to run a historical component test.,Build PIT-approximate panel and run baseline/component WFA
55,CRYPTO,CR05,Funding / OI / Liquidation,Leverage state,READY_FREE,FULL,"DefiLlama, public chain data, Binance Data Vision, protocol disclosures",Historical free panel and tournament not yet assembled,Component remains unproven,Overclaim / leakage / survivorship / proxy substitution,Free data sufficient to run a historical component test.,Build PIT-approximate panel and run baseline/component WFA
56,CRYPTO,CR06,Unlock / Issuance / Treasury,Supply pressure,PARTIAL_FREE,PARTIAL,"DefiLlama, public chain data, Binance Data Vision, protocol disclosures","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
57,CRYPTO,CR07,Lifecycle-Adjusted Selector,Token ranking by archetype,BLOCKED_TEST,PARTIAL,"DefiLlama, public chain data, Binance Data Vision, protocol disclosures",Frozen panel/component tournament not executed,No selector or alpha claim,Overclaim / leakage / survivorship / proxy substitution,"Inputs can be built, but tournament has not been run.",Execute after data panel and target freeze
58,COMMODITIES,CO01,Global Physical Balance,Supply-demand state,READY_FREE,FULL,"EIA, CFTC, USDA, IMF PortWatch, grid/weather sources",Historical free panel and tournament not yet assembled,Component remains unproven,Overclaim / leakage / survivorship / proxy substitution,Free data sufficient to run a historical component test.,Build PIT-approximate panel and run baseline/component WFA
59,COMMODITIES,CO02,Curve / Basis / Physical Premium,Futures/physical confirmation,PARTIAL_FREE,PARTIAL,"EIA, CFTC, USDA, IMF PortWatch, grid/weather sources","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
60,COMMODITIES,CO03,Positioning / Crowding,Speculative state,READY_FREE,FULL,"EIA, CFTC, USDA, IMF PortWatch, grid/weather sources",Historical free panel and tournament not yet assembled,Component remains unproven,Overclaim / leakage / survivorship / proxy substitution,Free data sufficient to run a historical component test.,Build PIT-approximate panel and run baseline/component WFA
61,COMMODITIES,CO04,Weather / Policy / Outage Shock,Event and production risk,PARTIAL_FREE,PARTIAL,"EIA, CFTC, USDA, IMF PortWatch, grid/weather sources","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
62,COMMODITIES,CO05,Bottleneck Strength,"Qualification, substitution and lead time",PARTIAL_FREE,PARTIAL,"EIA, CFTC, USDA, IMF PortWatch, grid/weather sources","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
63,COMMODITIES,CO06,Expression / Beneficiary Selector,Contract and listed beneficiary ranking,BLOCKED_TEST,PARTIAL,"EIA, CFTC, USDA, IMF PortWatch, grid/weather sources",Frozen panel/component tournament not executed,No selector or alpha claim,Overclaim / leakage / survivorship / proxy substitution,"Inputs can be built, but tournament has not been run.",Execute after data panel and target freeze
64,FX,FX01,Relative Macro / Surprise Matrix,Pair-relative macro,PARTIAL_FREE,PARTIAL,"FRED/ALFRED, BIS SDMX, central banks, CFTC, prices","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
65,FX,FX02,Policy / Real-Rate Differential,Policy path divergence,PARTIAL_FREE,PARTIAL,"FRED/ALFRED, BIS SDMX, central banks, CFTC, prices","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
66,FX,FX03,External Funding / Intervention Risk,Funding and official action,PARTIAL_FREE,PARTIAL,"FRED/ALFRED, BIS SDMX, central banks, CFTC, prices","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
67,FX,FX04,Positioning / Volatility State,Crowding and risk,READY_FREE,FULL,"FRED/ALFRED, BIS SDMX, central banks, CFTC, prices",Historical free panel and tournament not yet assembled,Component remains unproven,Overclaim / leakage / survivorship / proxy substitution,Free data sufficient to run a historical component test.,Build PIT-approximate panel and run baseline/component WFA
68,FX,FX05,FX Pair Selector,Relative instrument ranking,BLOCKED_TEST,PARTIAL,"FRED/ALFRED, BIS SDMX, central banks, CFTC, prices",Frozen panel/component tournament not executed,No selector or alpha claim,Overclaim / leakage / survivorship / proxy substitution,"Inputs can be built, but tournament has not been run.",Execute after data panel and target freeze
69,FLOW & ROTATION,FL01,Actual Fund / ETF Flow,Direct capital movement,PARTIAL_FREE,PARTIAL,"SEC N-PORT/13F, FINRA, CFTC, ETF issuer data, prices","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
70,FLOW & ROTATION,FL02,Futures Positioning,Crowding,READY_FREE,FULL,"SEC N-PORT/13F, FINRA, CFTC, ETF issuer data, prices",Historical free panel and tournament not yet assembled,Component remains unproven,Overclaim / leakage / survivorship / proxy substitution,Free data sufficient to run a historical component test.,Build PIT-approximate panel and run baseline/component WFA
71,FLOW & ROTATION,FL03,Options / Dealer State,Convexity and hedging pressure,BLOCKED_OPTIONS_HISTORY,LOW,"SEC N-PORT/13F, FINRA, CFTC, ETF issuer data, prices",No complete free historical stock-level chains/dealer inventory,Options component unavailable; core selector proof remains possible,Overclaim / leakage / survivorship / proxy substitution,No complete free stock-level historical option chain.,Use aggregate options regime; do not impute stock-level gamma
72,FLOW & ROTATION,FL04,Cross-Asset Confirmation,Reality check,PARTIAL_FREE,PARTIAL,"SEC N-PORT/13F, FINRA, CFTC, ETF issuer data, prices","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
73,FLOW & ROTATION,FL05,Market Internals / Breadth,Participation quality,READY_FREE,FULL,"SEC N-PORT/13F, FINRA, CFTC, ETF issuer data, prices",Historical free panel and tournament not yet assembled,Component remains unproven,Overclaim / leakage / survivorship / proxy substitution,Free data sufficient to run a historical component test.,Build PIT-approximate panel and run baseline/component WFA
74,FLOW & ROTATION,FL06,Rotation Stage / Exhaustion,Stage and follower policy,UNPROVEN,PARTIAL,"SEC N-PORT/13F, FINRA, CFTC, ETF issuer data, prices",Formula/OOS result absent,Narrative only; no predictive claim,Overclaim / leakage / survivorship / proxy substitution,Concept mapped; formula and OOS result absent.,Register simple baseline and falsifiable target
75,SUPPLY CHAIN,SC01,Shock / Event Ledger,Timestamp catalysts,READY_FREE,FULL,"GDELT, USAspending, SAM.gov, IMF PortWatch, filings, satellite/grid data",Historical free panel and tournament not yet assembled,Component remains unproven,Overclaim / leakage / survivorship / proxy substitution,Free data sufficient to run a historical component test.,Build PIT-approximate panel and run baseline/component WFA
76,SUPPLY CHAIN,SC02,Edge Validation Ledger,Store success/failure and lag,READY_FREE,FULL,"GDELT, USAspending, SAM.gov, IMF PortWatch, filings, satellite/grid data",Historical free panel and tournament not yet assembled,Component remains unproven,Overclaim / leakage / survivorship / proxy substitution,Free data sufficient to run a historical component test.,Build PIT-approximate panel and run baseline/component WFA
77,SUPPLY CHAIN,SC03,Physical / Economic Transmission,Map real transmission,PARTIAL_FREE,PARTIAL,"GDELT, USAspending, SAM.gov, IMF PortWatch, filings, satellite/grid data","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
