candidate_id,global_q,factor_a,factor_a_name,factor_a_role,factor_a_data,factor_a_thesis,factor_b,factor_b_name,factor_b_role,factor_b_data,factor_b_thesis,evidence_level,stock_level_proof,live_decision_weight,capital_permission
IO_ShortInterest::+1::zerotrade12M::+1,0.0271108911033597,IO_ShortInterest,Inst own among high short interest,execution_or_flow,13F,Exclude all stocks with short interest (ShortInterest) below 99th percentile. IO\_ShortInterest is institutional ownership (instown\_perc).  Keep NYSE Only.,zerotrade12M,Days with zero trades,execution_or_flow,Trading,"In each month, count the number of days with no trades. Define zerotrade as the number of days without trades plus (the sum of monthly turnover (vol/shrout) divided by 48*10$^5$), multiplied by 21/number of trading days per month. Take 12-month average.",HISTORICAL_PORTFOLIO_RESEARCH_CANDIDATE,False,0.0,BLOCKED
NetPayoutYield::+1::REV6::+1,0.0291072698889788,NetPayoutYield,Net Payout Yield,value_capture,Accounting,"Dividends (dvc) plus purchase of common and preferred stock (prstkc) minus sale of common and preferred stock (sstk), divided by market value of equity lagged 6 months.  Exclude if NetPayoutYield is 0, financial firm based on SIC code, ceq <= 0, or less than 2 years in CRSP",REV6,Earnings forecast revisions,value_capture,Analyst,"Define revisions as the change in the mean earnings estimate (meanest) for the next quarter from month t-1 to t, scaled by stock price in month t-1. REV6 is the sum of that variable from months t-6 to t.",HISTORICAL_PORTFOLIO_RESEARCH_CANDIDATE,False,0.0,BLOCKED
IO_ShortInterest::+1::zerotrade6M::+1,0.0294126146626082,IO_ShortInterest,Inst own among high short interest,execution_or_flow,13F,Exclude all stocks with short interest (ShortInterest) below 99th percentile. IO\_ShortInterest is institutional ownership (instown\_perc).  Keep NYSE Only.,zerotrade6M,Days with zero trades,execution_or_flow,Trading,"In each month, count the number of days with no trades. Define zerotrade as the number of days without trades plus (the sum of monthly turnover (vol/shrout) divided by 48*10$^5$), multiplied by 21/number of trading days per month. Zerotrade is the 6-month average of that variable.",HISTORICAL_PORTFOLIO_RESEARCH_CANDIDATE,False,0.0,BLOCKED
DelEqu::+1::ShareIss5Y::+1,0.0294303538461246,DelEqu,Change in equity to assets,value_capture,Accounting,"Difference in book equity (ceq) between years t-1 and t, scaled by average total assets (at) in years t-1 and t.",ShareIss5Y,Share issuance (5 year),cross_sectional_selection,Accounting,5-year growth in number of shares. Number of shares is calculated as shrout/cfacshr to adjust for splits.,HISTORICAL_PORTFOLIO_RESEARCH_CANDIDATE,False,0.0,BLOCKED
AgeIPO::+1::NetPayoutYield::+1,0.03109455158769,AgeIPO,IPO and age,information_flow_or_positioning,Event,Age is  (current year -  founding year from Jay Ritter's dataset). Exclude if IndIPO == 0.,NetPayoutYield,Net Payout Yield,value_capture,Accounting,"Dividends (dvc) plus purchase of common and preferred stock (prstkc) minus sale of common and preferred stock (sstk), divided by market value of equity lagged 6 months.  Exclude if NetPayoutYield is 0, financial firm based on SIC code, ceq <= 0, or less than 2 years in CRSP",HISTORICAL_PORTFOLIO_RESEARCH_CANDIDATE,False,0.0,BLOCKED
ExchSwitch::+1::RIO_Volatility::+1,0.0359359639866064,ExchSwitch,Exchange Switch,information_flow_or_positioning,Event,"Binary variable equal to 1 if a firm switched from AMEX or NASDAQ to NYSE within the past year, or from NASDAQ to AMEX within the past year.",RIO_Volatility,Inst Own and Idio Vol,information_flow_or_positioning,13F,"Follow RIO\_MB, except define volatility as the rolling standard deviation of the last 12 months of the stock return.  Let RIO\_Disp = lagged RIO quintile if the Volatility quintile == 5",HISTORICAL_PORTFOLIO_RESEARCH_CANDIDATE,False,0.0,BLOCKED
InvGrowth::+1::RIO_Volatility::+1,0.0413936520819537,InvGrowth,Inventory Growth,value_capture,Accounting,"Defate invt growth using gnp deflator.  Signal is deflated invt growth rate from fiscal year t to fiscal year t-1.  Drop if 1 digit sic code is 4 or 6, or if at or ppent <= 0",RIO_Volatility,Inst Own and Idio Vol,information_flow_or_positioning,13F,"Follow RIO\_MB, except define volatility as the rolling standard deviation of the last 12 months of the stock return.  Let RIO\_Disp = lagged RIO quintile if the Volatility quintile == 5",HISTORICAL_PORTFOLIO_RESEARCH_CANDIDATE,False,0.0,BLOCKED
ChEQ::+1::ShareIss5Y::+1,0.0423863709604513,ChEQ,Growth in book equity,value_capture,Accounting,Ratio of book equity (ceq) to book equity in the previous year. Include only if book equity is positive this year and last year.,ShareIss5Y,Share issuance (5 year),cross_sectional_selection,Accounting,5-year growth in number of shares. Number of shares is calculated as shrout/cfacshr to adjust for splits.,HISTORICAL_PORTFOLIO_RESEARCH_CANDIDATE,False,0.0,BLOCKED
NetPayoutYield::+1::tang::+1,0.0426457332100926,NetPayoutYield,Net Payout Yield,value_capture,Accounting,"Dividends (dvc) plus purchase of common and preferred stock (prstkc) minus sale of common and preferred stock (sstk), divided by market value of equity lagged 6 months.  Exclude if NetPayoutYield is 0, financial firm based on SIC code, ceq <= 0, or less than 2 years in CRSP",tang,Tangibility,cross_sectional_selection,Accounting,"Cash and short-term investments (che) plus .715*receivables (rect) + .547*inventory (invt) + .535* property, plant and equipment (ppent), scaled by total assets (at). Only defined for manufacturing firms (SIC $\geq$ 2000 and SIC <4000). Exclude the lowest tercile of manufacturing firms by total assets.",HISTORICAL_PORTFOLIO_RESEARCH_CANDIDATE,False,0.0,BLOCKED
RIO_Volatility::+1::roaq::+1,0.0455907678508664,RIO_Volatility,Inst Own and Idio Vol,information_flow_or_positioning,13F,"Follow RIO\_MB, except define volatility as the rolling standard deviation of the last 12 months of the stock return.  Let RIO\_Disp = lagged RIO quintile if the Volatility quintile == 5",roaq,Return on assets (qtrly),value_capture,Accounting,Quarterly net income (ibq) divided by lagged total assets (atq).,HISTORICAL_PORTFOLIO_RESEARCH_CANDIDATE,False,0.0,BLOCKED
REV6::+1::XFIN::+1,0.0457893061022257,REV6,Earnings forecast revisions,value_capture,Analyst,"Define revisions as the change in the mean earnings estimate (meanest) for the next quarter from month t-1 to t, scaled by stock price in month t-1. REV6 is the sum of that variable from months t-6 to t.",XFIN,Net external financing,cross_sectional_selection,Accounting,Sale of common stock (sstk) minus dividends (dv) minus purchase of common stock (prstkc) plus long-term debt issuance (dltis) minus long-term debt reductions (dltr). Scaled by total assets (at).,HISTORICAL_PORTFOLIO_RESEARCH_CANDIDATE,False,0.0,BLOCKED
AssetGrowth::+1::NetEquityFinance::+1,0.046679073190755,AssetGrowth,Asset growth,value_capture,Accounting,Annual growth rate of total assets (at),NetEquityFinance,Net equity financing,cross_sectional_selection,Accounting,"Sale of common stock (sstk) minus  purchase of common stock (prstkc), scaled by average total assets (at) from years t and t-1. Exclude if absolute value of ratio is greater than 1.",HISTORICAL_PORTFOLIO_RESEARCH_CANDIDATE,False,0.0,BLOCKED
AccrualsBM::+1::Mom12m::+1,0.0493105990838528,AccrualsBM,Book-to-market and accruals,value_capture,Accounting,"Binary variable equal to 1 if stock is in the highest Accrual quintile and the lowest BM quintile, and equal to 0 if stock is in the lowest Accrual quintile and the highest BM quintile. Exclude if book equity (ceq) is negative.",Mom12m,Momentum (12 month),direction,Price,Stock return between months t-12 and t-1,HISTORICAL_PORTFOLIO_RESEARCH_CANDIDATE,False,0.0,BLOCKED
MomOffSeason06YrPlus::+1::NetPayoutYield::+1,0.0497416106421332,MomOffSeason06YrPlus,Off season reversal years 6 to 10,direction,Price,Average return in other months over the preceding 6-10 years.,NetPayoutYield,Net Payout Yield,value_capture,Accounting,"Dividends (dvc) plus purchase of common and preferred stock (prstkc) minus sale of common and preferred stock (sstk), divided by market value of equity lagged 6 months.  Exclude if NetPayoutYield is 0, financial firm based on SIC code, ceq <= 0, or less than 2 years in CRSP",HISTORICAL_PORTFOLIO_RESEARCH_CANDIDATE,False,0.0,BLOCKED
AgeIPO::+1::XFIN::+1,0.0499248695116745,AgeIPO,IPO and age,information_flow_or_positioning,Event,Age is  (current year -  founding year from Jay Ritter's dataset). Exclude if IndIPO == 0.,XFIN,Net external financing,cross_sectional_selection,Accounting,Sale of common stock (sstk) minus dividends (dv) minus purchase of common stock (prstkc) plus long-term debt issuance (dltis) minus long-term debt reductions (dltr). Scaled by total assets (at).,HISTORICAL_PORTFOLIO_RESEARCH_CANDIDATE,False,0.0,BLOCKED
