primitive_id,market,causal_role,metric,source_requirement,point_in_time_required,directional_by_itself,proof_status,live_decision_weight,capital_permission
us_equities:vulnerabilitie:low_free_float,us_equities,vulnerabilitie,low_free_float,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
us_equities:vulnerabilitie:high_short_interest_to_float,us_equities,vulnerabilitie,high_short_interest_to_float,FINRA/SRO snapshots; lending cost still needed,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
us_equities:vulnerabilitie:high_borrow_utilization,us_equities,vulnerabilitie,high_borrow_utilization,securities-lending vendor; public reporting incomplete,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
us_equities:vulnerabilitie:high_days_to_cover,us_equities,vulnerabilitie,high_days_to_cover,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
us_equities:vulnerabilitie:thin_depth,us_equities,vulnerabilitie,thin_depth,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
us_equities:vulnerabilitie:crowded_options_strikes,us_equities,vulnerabilitie,crowded_options_strikes,market-specific point-in-time source required,True,False,MAPPED_NOT_PROVEN,0.0,BLOCKED
us_equities:vulnerabilitie:low_inventory_buffer,us_equities,vulnerabilitie,low_inventory_buffer,EIA/official agencies/exchange stocks,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
us_equities:vulnerabilitie:single_supplier_dependency,us_equities,vulnerabilitie,single_supplier_dependency,company filings and production network mapping,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
us_equities:vulnerabilitie:high_operating_leverage,us_equities,vulnerabilitie,high_operating_leverage,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
us_equities:vulnerabilitie:high_expectation_dispersion,us_equities,vulnerabilitie,high_expectation_dispersion,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
us_equities:trigger:earnings_release,us_equities,trigger,earnings_release,SEC/company filings point-in-time,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
us_equities:trigger:guidance_update,us_equities,trigger,guidance_update,SEC/company filings point-in-time,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
us_equities:trigger:customer_win,us_equities,trigger,customer_win,company filings/customer disclosures/supply-chain evidence,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
us_equities:trigger:contract_price_reset,us_equities,trigger,contract_price_reset,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
us_equities:trigger:index_rebalance,us_equities,trigger,index_rebalance,index provider announcements,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
us_equities:trigger:borrow_recall,us_equities,trigger,borrow_recall,securities-lending vendor; public reporting incomplete,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
us_equities:trigger:short_sale_constraint,us_equities,trigger,short_sale_constraint,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
us_equities:trigger:breakout_with_signed_flow,us_equities,trigger,breakout_with_signed_flow,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
us_equities:trigger:macro_policy_surprise,us_equities,trigger,macro_policy_surprise,central bank official vintage,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
us_equities:transmission:signed_equity_order_flow,us_equities,transmission,signed_equity_order_flow,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
us_equities:transmission:borrow_squeeze,us_equities,transmission,borrow_squeeze,securities-lending vendor; public reporting incomplete,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
us_equities:transmission:dealer_hedging,us_equities,transmission,dealer_hedging,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
us_equities:transmission:etf_flow,us_equities,transmission,etf_flow,fund sponsor/exchange/vendor,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
us_equities:transmission:analyst_revision_cascade,us_equities,transmission,analyst_revision_cascade,licensed point-in-time estimate history,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
us_equities:transmission:supply_chain_readthrough,us_equities,transmission,supply_chain_readthrough,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
us_equities:transmission:retail_attention,us_equities,transmission,retail_attention,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
us_equities:transmission:liquidity_gap,us_equities,transmission,liquidity_gap,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
ihsg:origin:broker_inventory_persistence,ihsg,origin,broker_inventory_persistence,IDX broker summary/history acquisition,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
ihsg:origin:foreign_net_flow,ihsg,origin,foreign_net_flow,IDX/market data history,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
ihsg:origin:controller_accumulation_proxy,ihsg,origin,controller_accumulation_proxy,ownership/free-float filings plus broker mapping,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
ihsg:origin:earnings_revision,ihsg,origin,earnings_revision,SEC/company filings point-in-time,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
ihsg:origin:commodity_beta_inflection,ihsg,origin,commodity_beta_inflection,commodity and issuer exposure mapping,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
ihsg:origin:import_cost_relief,ihsg,origin,import_cost_relief,trade data/company cost structure,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
ihsg:origin:export_price_shock,ihsg,origin,export_price_shock,trade/physical price data,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
ihsg:origin:capacity_expansion,ihsg,origin,capacity_expansion,company filings/industry capacity data,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
ihsg:origin:rights_issue_use_of_funds,ihsg,origin,rights_issue_use_of_funds,IDX issuer filings,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
ihsg:origin:corporate_action,ihsg,origin,corporate_action,IDX issuer filings,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
ihsg:origin:order_backlog_change,ihsg,origin,order_backlog_change,company filings,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
ihsg:origin:sector_policy_change,ihsg,origin,sector_policy_change,official regulation/policy,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
ihsg:vulnerabilitie:low_free_float,ihsg,vulnerabilitie,low_free_float,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
ihsg:vulnerabilitie:controller_concentration,ihsg,vulnerabilitie,controller_concentration,ownership/free-float filings plus broker mapping,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
ihsg:vulnerabilitie:thin_depth,ihsg,vulnerabilitie,thin_depth,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
ihsg:vulnerabilitie:broker_concentration,ihsg,vulnerabilitie,broker_concentration,IDX broker summary/history acquisition,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
ihsg:vulnerabilitie:crossing_intensity,ihsg,vulnerabilitie,crossing_intensity,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
ihsg:vulnerabilitie:high_import_dependency,ihsg,vulnerabilitie,high_import_dependency,trade data/company cost structure,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
ihsg:vulnerabilitie:refinancing_need,ihsg,vulnerabilitie,refinancing_need,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
ihsg:vulnerabilitie:small_market_cap,ihsg,vulnerabilitie,small_market_cap,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
ihsg:vulnerabilitie:retail_crowding,ihsg,vulnerabilitie,retail_crowding,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
ihsg:trigger:broker_flow_acceleration,ihsg,trigger,broker_flow_acceleration,IDX broker summary/history acquisition,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
ihsg:trigger:foreign_flow_reversal,ihsg,trigger,foreign_flow_reversal,IDX/market data history,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
ihsg:trigger:earnings_release,ihsg,trigger,earnings_release,SEC/company filings point-in-time,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
ihsg:trigger:commodity_breakout,ihsg,trigger,commodity_breakout,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
ihsg:trigger:policy_release,ihsg,trigger,policy_release,central bank official vintage,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
ihsg:trigger:corporate_action_date,ihsg,trigger,corporate_action_date,IDX issuer filings,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
ihsg:trigger:failed_breakdown_with_absorption,ihsg,trigger,failed_breakdown_with_absorption,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
ihsg:transmission:broker_inventory_transfer,ihsg,transmission,broker_inventory_transfer,IDX broker summary/history acquisition,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
ihsg:transmission:foreign_local_rotation,ihsg,transmission,foreign_local_rotation,IDX/market data history,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
ihsg:transmission:controller_float_squeeze,ihsg,transmission,controller_float_squeeze,ownership/free-float filings plus broker mapping,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
ihsg:transmission:sector_peer_readthrough,ihsg,transmission,sector_peer_readthrough,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
ihsg:transmission:retail_attention,ihsg,transmission,retail_attention,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
ihsg:transmission:liquidity_gap,ihsg,transmission,liquidity_gap,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
ihsg:transmission:margin_forced_flow,ihsg,transmission,margin_forced_flow,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
commodity:origin:inventory_surprise,commodity,origin,inventory_surprise,EIA/official agencies/exchange stocks,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
commodity:origin:production_outage,commodity,origin,production_outage,official agency/company/port data,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
commodity:origin:spare_capacity_change,commodity,origin,spare_capacity_change,company filings/industry capacity data,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
commodity:origin:demand_revision,commodity,origin,demand_revision,official agency forecast vintages,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
commodity:origin:export_disruption,commodity,origin,export_disruption,trade/physical price data,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
commodity:origin:import_surge,commodity,origin,import_surge,trade data/company cost structure,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
commodity:origin:refinery_run_change,commodity,origin,refinery_run_change,official refinery/utilization,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
commodity:origin:weather_shock,commodity,origin,weather_shock,official meteorological vintages,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
commodity:origin:geopolitical_risk_repricing,commodity,origin,geopolitical_risk_repricing,timestamped public events; not causal proof alone,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
commodity:origin:physical_basis_change,commodity,origin,physical_basis_change,licensed physical cash market,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
commodity:origin:freight_constraint,commodity,origin,freight_constraint,shipping/freight data,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
commodity:origin:storage_constraint,commodity,origin,storage_constraint,official/vendor storage data,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
commodity:origin:producer_hedging_change,commodity,origin,producer_hedging_change,CFTC disaggregated COT,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
commodity:origin:managed_money_position_change,commodity,origin,managed_money_position_change,CFTC disaggregated COT,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
commodity:origin:curve_roll_yield,commodity,origin,curve_roll_yield,exchange futures settlements,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
commodity:origin:substitution_price,commodity,origin,substitution_price,cross-commodity prices and input-output mapping,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
commodity:vulnerabilitie:low_inventory_days,commodity,vulnerabilitie,low_inventory_days,EIA/official agencies/exchange stocks,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
commodity:vulnerabilitie:steep_backwardation,commodity,vulnerabilitie,steep_backwardation,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
commodity:vulnerabilitie:concentrated_spare_capacity,commodity,vulnerabilitie,concentrated_spare_capacity,company filings/industry capacity data,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
commodity:vulnerabilitie:thin_deliverable_supply,commodity,vulnerabilitie,thin_deliverable_supply,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
commodity:vulnerabilitie:crowded_managed_money,commodity,vulnerabilitie,crowded_managed_money,CFTC disaggregated COT,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
commodity:vulnerabilitie:high_open_interest_to_depth,commodity,vulnerabilitie,high_open_interest_to_depth,exchange OI history; direction ambiguous alone,True,False,MAPPED_NOT_PROVEN,0.0,BLOCKED
commodity:vulnerabilitie:refinery_bottleneck,commodity,vulnerabilitie,refinery_bottleneck,official refinery/utilization,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
commodity:vulnerabilitie:transport_chokepoint,commodity,vulnerabilitie,transport_chokepoint,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
commodity:vulnerabilitie:seasonal_demand_peak,commodity,vulnerabilitie,seasonal_demand_peak,official agency forecast vintages,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
commodity:trigger:inventory_release,commodity,trigger,inventory_release,EIA/official agencies/exchange stocks,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
commodity:trigger:outage_confirmation,commodity,trigger,outage_confirmation,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
commodity:trigger:sanction_or_war_event,commodity,trigger,sanction_or_war_event,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
commodity:trigger:opec_policy,commodity,trigger,opec_policy,central bank official vintage,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
commodity:trigger:weather_realization,commodity,trigger,weather_realization,official meteorological vintages,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
commodity:trigger:curve_break,commodity,trigger,curve_break,exchange futures settlements,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
commodity:trigger:signed_futures_flow,commodity,trigger,signed_futures_flow,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
commodity:trigger:margin_change,commodity,trigger,margin_change,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
commodity:transmission:physical_cash_market,commodity,transmission,physical_cash_market,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
commodity:transmission:futures_curve,commodity,transmission,futures_curve,exchange futures settlements,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
commodity:transmission:producer_consumer_hedging,commodity,transmission,producer_consumer_hedging,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
commodity:transmission:short_covering,commodity,transmission,short_covering,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
commodity:transmission:long_liquidation,commodity,transmission,long_liquidation,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
commodity:transmission:cross_commodity_substitution,commodity,transmission,cross_commodity_substitution,cross-commodity prices and input-output mapping,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
commodity:transmission:shipping_and_insurance,commodity,transmission,shipping_and_insurance,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
commodity:transmission:equity_readthrough,commodity,transmission,equity_readthrough,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
fx:origin:policy_path_surprise,fx,origin,policy_path_surprise,central bank official vintage,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
fx:origin:inflation_surprise,fx,origin,inflation_surprise,official macro release vintage,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
fx:origin:growth_surprise,fx,origin,growth_surprise,official macro release vintage,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
fx:origin:terms_of_trade_change,fx,origin,terms_of_trade_change,trade and commodity indices,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
fx:origin:reserve_change,fx,origin,reserve_change,central bank/IMF,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
fx:origin:intervention_signal,fx,origin,intervention_signal,central bank and high-frequency inference,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
fx:origin:external_funding_stress,fx,origin,external_funding_stress,BIS/market basis,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
fx:origin:carry_change,fx,origin,carry_change,official rates and forwards,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
fx:origin:real_exchange_rate_gap,fx,origin,real_exchange_rate_gap,official CPI/PPP,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
fx:origin:capital_flow_change,fx,origin,capital_flow_change,balance-of-payments/EPFR vendor,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
fx:origin:cftc_tff_position_change,fx,origin,cftc_tff_position_change,CFTC TFF,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
fx:origin:risk_reversal_change,fx,origin,risk_reversal_change,licensed options surface,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
fx:vulnerabilitie:foreign_currency_debt,fx,vulnerabilitie,foreign_currency_debt,IDX/market data history,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
fx:vulnerabilitie:low_reserve_adequacy,fx,vulnerabilitie,low_reserve_adequacy,central bank/IMF,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
fx:vulnerabilitie:crowded_carry,fx,vulnerabilitie,crowded_carry,official rates and forwards,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
fx:vulnerabilitie:high_import_dependence,fx,vulnerabilitie,high_import_dependence,trade data/company cost structure,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
fx:vulnerabilitie:political_event_risk,fx,vulnerabilitie,political_event_risk,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
fx:vulnerabilitie:thin_offshore_liquidity,fx,vulnerabilitie,thin_offshore_liquidity,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
fx:vulnerabilitie:high_open_interest_to_depth,fx,vulnerabilitie,high_open_interest_to_depth,exchange OI history; direction ambiguous alone,True,False,MAPPED_NOT_PROVEN,0.0,BLOCKED
fx:trigger:central_bank_decision,fx,trigger,central_bank_decision,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
fx:trigger:intervention,fx,trigger,intervention,central bank and high-frequency inference,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
fx:trigger:inflation_release,fx,trigger,inflation_release,official macro release vintage,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
fx:trigger:payroll_release,fx,trigger,payroll_release,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
fx:trigger:risk_off_shock,fx,trigger,risk_off_shock,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
fx:trigger:funding_basis_break,fx,trigger,funding_basis_break,exchange funding history,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
fx:trigger:option_barrier_break,fx,trigger,option_barrier_break,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
fx:transmission:rate_differential,fx,transmission,rate_differential,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
fx:transmission:dollar_funding,fx,transmission,dollar_funding,exchange funding history,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
fx:transmission:carry_unwind,fx,transmission,carry_unwind,official rates and forwards,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
fx:transmission:reserve_intervention,fx,transmission,reserve_intervention,central bank/IMF,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
fx:transmission:options_hedging,fx,transmission,options_hedging,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
fx:transmission:corporate_hedging,fx,transmission,corporate_hedging,IDX issuer filings,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
fx:transmission:cross_border_portfolio_flow,fx,transmission,cross_border_portfolio_flow,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
crypto:origin:spot_exchange_inflow_outflow,crypto,origin,spot_exchange_inflow_outflow,exchange/on-chain tagged flows,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
crypto:origin:stablecoin_supply_impulse,crypto,origin,stablecoin_supply_impulse,on-chain supply,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
crypto:origin:onchain_fee_demand,crypto,origin,onchain_fee_demand,official agency forecast vintages,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
crypto:origin:protocol_revenue_change,crypto,origin,protocol_revenue_change,SEC/company filings point-in-time,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
crypto:origin:token_unlock,crypto,origin,token_unlock,official token schedules/chain data,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
crypto:origin:etf_flow,crypto,origin,etf_flow,fund sponsor/exchange/vendor,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
crypto:origin:developer_or_usage_growth,crypto,origin,developer_or_usage_growth,official macro release vintage,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
crypto:origin:narrative_attention,crypto,origin,narrative_attention,timestamped attention data,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
crypto:origin:taker_flow,crypto,origin,taker_flow,exchange signed taker volume,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
crypto:origin:spot_perp_divergence,crypto,origin,spot_perp_divergence,exchange spot/perpetual prices,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
crypto:origin:funding_change,crypto,origin,funding_change,exchange funding history,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
crypto:origin:basis_change,crypto,origin,basis_change,exchange futures basis,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
crypto:origin:open_interest_change,crypto,origin,open_interest_change,exchange OI history; direction ambiguous alone,True,False,MAPPED_NOT_PROVEN,0.0,BLOCKED
crypto:origin:whale_inventory_change,crypto,origin,whale_inventory_change,EIA/official agencies/exchange stocks,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
crypto:vulnerabilitie:high_oi_to_depth,crypto,vulnerabilitie,high_oi_to_depth,market-specific point-in-time source required,True,False,MAPPED_NOT_PROVEN,0.0,BLOCKED
crypto:vulnerabilitie:extreme_funding,crypto,vulnerabilitie,extreme_funding,exchange funding history,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
crypto:vulnerabilitie:extreme_basis,crypto,vulnerabilitie,extreme_basis,exchange futures basis,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
crypto:vulnerabilitie:liquidation_cluster_near_price,crypto,vulnerabilitie,liquidation_cluster_near_price,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
crypto:vulnerabilitie:thin_order_book,crypto,vulnerabilitie,thin_order_book,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
crypto:vulnerabilitie:high_exchange_concentration,crypto,vulnerabilitie,high_exchange_concentration,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
crypto:vulnerabilitie:token_unlock_overhang,crypto,vulnerabilitie,token_unlock_overhang,official token schedules/chain data,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
crypto:vulnerabilitie:high_leverage_estimate,crypto,vulnerabilitie,high_leverage_estimate,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
crypto:vulnerabilitie:crowded_top_trader_ratio,crypto,vulnerabilitie,crowded_top_trader_ratio,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
crypto:trigger:spot_signed_flow,crypto,trigger,spot_signed_flow,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
