id,engine,family,placement,actor,constraint,transmission,horizon,confirmation,contradiction,pricing,decision_improved
43,Commodity,Production / spare capacity,Physical bottleneck,Producers / OPEC / miners,Ability to expand supply,Capacity constrains duration of scarcity,1M-5Y,Supply response lags demand,Hidden spare capacity appears,Capacity plans can be priced,Bottleneck duration
44,Commodity,Real demand / consumption,Physical bottleneck,Industrial/consumer users,Consumption requirements,Real demand determines whether scarcity is durable,Days-2Y,Consumption/orders/utilization rise,Price rises only from supply shock,Demand expectations may be priced,Demand confirmation
45,Commodity,Futures curve / basis,Market-implied physical state,Hedgers / inventory holders,"Carry, storage and convenience yield",Curve embeds near-term scarcity/funding/storage economics,Days-2Y,Physical data corroborate backwardation/contango,Financial positioning distorts curve,It is itself market pricing,Pricing / timing
46,Commodity,Processing / logistics economics,Physical bottleneck,Refiners / smelters / shippers,Conversion and transport capacity,Bottleneck can sit downstream/upstream of raw commodity,Days-3Y,Crack/TC/lead-time economics confirm,Raw supply tight but processing slack,Margins can mean-revert,Bottleneck location
47,Country/FX,External balance / current account,Country / FX,Trade sector / foreign investors,External financing need,External balance changes sensitivity to global funding and terms of trade,1Q-5Y,Reserves/FX/flows align,Capital inflows offset deficit,Slow-moving and often priced,Country vulnerability
48,Country/FX,Reserves / external debt / intervention vulnerability,Country / FX,Central bank / external borrowers,"FX reserves, debt service, intervention capacity",Determines ability to resist funding/FX shock,Days-3Y,Reserves/debt/intervention evidence confirms,Credible policy offsets pressure,Intervention can be nonlinear,FX tail risk
49,Crypto,Stablecoin / crypto liquidity,Crypto-native,Stablecoin issuers / exchanges / users,On-chain settlement liquidity,Liquidity availability supports transaction and risk capacity,Days-6M,Stablecoin supply/flow and spot activity rise,Stablecoin growth sits idle,Can be reflexive,Crypto liquidity
50,Crypto,On-chain economic activity,Crypto-native,Users / protocols,Real usage and fee demand,Activity verifies whether valuation has economic use behind it,Days-2Y,Fees/users/settlement rise,Token price rises while activity falls,Usage may not accrue to token,Fundamental validation
51,Crypto,Derivatives leverage / funding / OI / liquidations,Crypto-native,Levered traders / exchanges,Margin and perpetual funding,Leverage can amplify or destabilize price moves,Intraday-3M,OI/funding/liquidations corroborate squeeze/deleveraging,Spot leads with modest leverage,Not fundamental demand,Risk / execution
52,Crypto,Token supply / unlocks / emissions / exchange balance,Crypto-native,Teams / investors / validators,Supply schedule and sellable float,Unlock/emission pressure affects dilution and flow,Days-5Y,Unlocks/exchange flows materialize,Demand absorbs issuance,Schedules often known/priced,Supply asymmetry
