source,target,mechanism,sign,lag,role,validation,condition
Grid interconnection,Powered-land scarcity,Sites with secured power/interconnection gain scarcity value,+,0-12Q,BOTTLENECK,CORE,Interconnection remains binding
Power generation,Natural gas generation,Fast firm generation can favor gas in some regions,+,1-12Q,SECOND,CONDITIONAL,Gas infrastructure/permitting available
Power generation,Nuclear / SMR,24/7 low-carbon demand can support nuclear contracts,+,4-40Q,SECOND,CONDITIONAL,Licensing/financing/project execution
Power generation,Renewables,New load can support utility-scale renewable build,+,1-16Q,SECOND,CORE,Interconnection/storage available
Power generation,Gas demand,Incremental dispatch/new plants can raise gas burn,+,1-12Q,SECOND,CONDITIONAL,Gas is marginal source
On-site generation / backup,Commercial generators,Backup/bridge power increases generator demand,+,0-8Q,SECOND,CORE,Data-center redundancy standards persist
Cooling demand,Liquid cooling,Higher-density racks favor liquid cooling,+,0-6Q,SECOND,CORE,Air cooling becomes insufficient
Cooling demand,Chillers / HVAC,Facilities require heat rejection and HVAC infrastructure,+,0-6Q,SECOND,CORE,Architecture includes chilled water/air systems
Cooling demand,Water treatment,Water-cooled facilities can raise treatment/water demand,+,0-8Q,SECOND,CONDITIONAL,Water-based cooling/local resource constraints
Cooling demand,Water scarcity / local opposition,Water-intensive cooling can create local constraints,+,1-12Q,BOTTLENECK,CONDITIONAL,Region water-stressed
Wholesale power prices,Power-intensive industry margins,Higher electricity costs pressure non-AI heavy users,-,0-8Q,LOSER,CORE,Pass-through limited
Utility load growth,Transmission capex,Utilities invest in lines/substations to serve load,+,1-16Q,THIRD,CORE,Projects approved and financed
Construction delays,Stranded AI capex risk,Equipment/orders can be delayed if power/site unavailable,+,1-8Q,LOSER,CONDITIONAL,Capex committed before power secured
CPO / photonics adoption,Optical engines / lasers,Demand rises for integrated optical engines/laser sources,+,1-12Q,SECOND,CORE,CPO architecture chosen
CPO / photonics adoption,Advanced packaging / co-packaging,Optics near ASIC raises packaging complexity,+,1-12Q,SECOND,CORE,Manufacturing yields manageable
CPO / photonics adoption,Copper cable demand,Optical substitution can reduce some high-speed copper content,-,1-12Q,LOSER,CONDITIONAL,CPO displaces copper links
NAND pricing,Memory producer gross margin,Pricing power expands producer margin,+,0-2Q,DIRECT,CORE,Costs stable / mix supportive
NAND pricing,SSD / device customer costs,Higher flash prices raise downstream BOM costs,+,0-2Q,LOSER,CORE,Customers cannot fully hedge/pass through
Optical transceivers,Lasers / photonics,Optical modules need lasers and photonic components,+,0-4Q,SECOND,CORE,Optical architecture expands
Optical transceivers,DSP / optical semis,Higher-speed modules need DSP/driver/TIA silicon,+,0-4Q,SECOND,CORE,Module speeds increase
Optical transceivers,Fiber / connectors,More optical links consume fiber and connectors,+,0-4Q,SECOND,CORE,Port counts/fiber runs rise
Transformers,Electrical steel / copper,Transformer production consumes grain-oriented steel/copper,+,1-12Q,THIRD,CORE,Input intensity persists
Cables / conductors,Copper demand,Electrical infrastructure raises copper consumption,+,1-12Q,THIRD,CORE,Substitution/recycling does not fully offset
Powered-land scarcity,Data-center development margins,Scarce entitled power can improve economics for owners,+,0-12Q,SECOND,CONDITIONAL,Capex/financing manageable
Natural gas generation,Gas turbines,New gas plants require turbine capacity,+,2-16Q,THIRD,CORE,Gas chosen as marginal firm supply
Natural gas generation,Air emissions / permitting,New gas capacity can face permitting constraints,+,2-16Q,BOTTLENECK,CONDITIONAL,Local rules restrictive
Nuclear / SMR,Nuclear fuel demand,More reactor operation/new build raises fuel-cycle demand,+,4-40Q,THIRD,CORE,Projects proceed
Nuclear / SMR,Nuclear engineering / components,Long-lead reactor components and services gain demand,+,4-40Q,THIRD,CONDITIONAL,New-build pipeline becomes firm
Renewables,Battery storage,Variable generation and AI load swings increase storage need,+,1-12Q,THIRD,CORE,Storage economics remain viable
Gas demand,Gas pipeline / midstream throughput,Higher power-sector gas use can lift pipeline demand,+,1-16Q,THIRD,CONDITIONAL,Pipeline geography matches new generation
Liquid cooling,Pumps / heat exchangers,Liquid loops require pumps/CDUs/heat exchangers,+,0-6Q,THIRD,CORE,Direct-liquid cooling adoption
Water scarcity / local opposition,Dry cooling / closed-loop demand,Constraints can shift designs toward lower-water systems,+,1-12Q,SECOND,CONDITIONAL,Alternative designs economic
Transmission capex,Grid equipment backlog,Transformer/switchgear/cable demand outruns factory capacity,+,1-12Q,THIRD,CORE,Lead times remain long
