dataset_id,domain,geography,requirement,primary_source,secondary_source,priority,pit_required,freshness_target,current_status,local_path,required_for,notes,self_run_status
MACRO_GLOBAL,GLOBAL_MACRO,GLOBAL,Growth/inflation/policy/rates/credit/FX/external/fiscal core,GLOBAL_IMF/GLOBAL_BIS/GLOBAL_OECD/GLOBAL_WB,GLOBAL_IMF/GLOBAL_BIS,P1,YES,MONTHLY/QUARTERLY/DAILY,AUTO_FETCH,data/factual/danish_data.csv,Cross-market transfer + local overlays,"Fetch only domains with reliable history; mark missing families DATA_DEBT, not neutral. | Denmark cross-country replication dataset only; not broad global macro",FACTUAL_SNAPSHOT_SCOPE_LIMITED
MACRO_EUROZONE,GLOBAL_MACRO,EUROZONE,Growth/inflation/policy/rates/credit/FX/external/fiscal core,EU_ECB/EU_EUROSTAT,GLOBAL_IMF/GLOBAL_BIS,P1,YES,MONTHLY/QUARTERLY/DAILY,AUTO_FETCH,,Cross-market transfer + local overlays,"Fetch only domains with reliable history; mark missing families DATA_DEBT, not neutral.",DATA_DEBT_NOT_INGESTED
MACRO_JAPAN,GLOBAL_MACRO,JAPAN,Growth/inflation/policy/rates/credit/FX/external/fiscal core,JP_BOJ/JP_MOF/JP_ESTAT,GLOBAL_IMF/GLOBAL_BIS,P1,YES,MONTHLY/QUARTERLY/DAILY,AUTO_FETCH,,Cross-market transfer + local overlays,"Fetch only domains with reliable history; mark missing families DATA_DEBT, not neutral.",DATA_DEBT_NOT_INGESTED
MACRO_HONG_KONG,GLOBAL_MACRO,HONG_KONG,Growth/inflation/policy/rates/credit/FX/external/fiscal core,HK_HKMA/HK_HKEX,GLOBAL_IMF/GLOBAL_BIS,P1,YES,MONTHLY/QUARTERLY/DAILY,AUTO_FETCH,,Cross-market transfer + local overlays,"Fetch only domains with reliable history; mark missing families DATA_DEBT, not neutral.",DATA_DEBT_NOT_INGESTED
MACRO_TAIWAN,GLOBAL_MACRO,TAIWAN,Growth/inflation/policy/rates/credit/FX/external/fiscal core,TW_CBC/TW_TWSE/TW_MOPS,GLOBAL_IMF/GLOBAL_BIS,P1,YES,MONTHLY/QUARTERLY/DAILY,AUTO_FETCH,,Cross-market transfer + local overlays,"Fetch only domains with reliable history; mark missing families DATA_DEBT, not neutral.",DATA_DEBT_NOT_INGESTED
MACRO_SOUTH_KOREA,GLOBAL_MACRO,SOUTH_KOREA,Growth/inflation/policy/rates/credit/FX/external/fiscal core,KR_BOK/KR_DART,GLOBAL_IMF/GLOBAL_BIS,P1,YES,MONTHLY/QUARTERLY/DAILY,AUTO_FETCH,,Cross-market transfer + local overlays,"Fetch only domains with reliable history; mark missing families DATA_DEBT, not neutral.",DATA_DEBT_NOT_INGESTED
MACRO_INDIA,GLOBAL_MACRO,INDIA,Growth/inflation/policy/rates/credit/FX/external/fiscal core,IN_RBI/IN_MOSPI,GLOBAL_IMF/GLOBAL_BIS,P1,YES,MONTHLY/QUARTERLY/DAILY,AUTO_FETCH,,Cross-market transfer + local overlays,"Fetch only domains with reliable history; mark missing families DATA_DEBT, not neutral.",DATA_DEBT_NOT_INGESTED
MACRO_UNITED_KINGDOM,GLOBAL_MACRO,UNITED_KINGDOM,Growth/inflation/policy/rates/credit/FX/external/fiscal core,UK_BOE/UK_ONS,GLOBAL_IMF/GLOBAL_BIS,P1,YES,MONTHLY/QUARTERLY/DAILY,AUTO_FETCH,,Cross-market transfer + local overlays,"Fetch only domains with reliable history; mark missing families DATA_DEBT, not neutral.",DATA_DEBT_NOT_INGESTED
MACRO_CANADA,GLOBAL_MACRO,CANADA,Growth/inflation/policy/rates/credit/FX/external/fiscal core,CA_BOC/CA_STATCAN,GLOBAL_IMF/GLOBAL_BIS,P1,YES,MONTHLY/QUARTERLY/DAILY,AUTO_FETCH,,Cross-market transfer + local overlays,"Fetch only domains with reliable history; mark missing families DATA_DEBT, not neutral.",DATA_DEBT_NOT_INGESTED
MACRO_AUSTRALIA,GLOBAL_MACRO,AUSTRALIA,Growth/inflation/policy/rates/credit/FX/external/fiscal core,AU_RBA/AU_ABS,GLOBAL_IMF/GLOBAL_BIS,P1,YES,MONTHLY/QUARTERLY/DAILY,AUTO_FETCH,,Cross-market transfer + local overlays,"Fetch only domains with reliable history; mark missing families DATA_DEBT, not neutral.",DATA_DEBT_NOT_INGESTED
MACRO_BRAZIL,GLOBAL_MACRO,BRAZIL,Growth/inflation/policy/rates/credit/FX/external/fiscal core,BR_BCB/BR_IBGE,GLOBAL_IMF/GLOBAL_BIS,P1,YES,MONTHLY/QUARTERLY/DAILY,AUTO_FETCH,,Cross-market transfer + local overlays,"Fetch only domains with reliable history; mark missing families DATA_DEBT, not neutral.",DATA_DEBT_NOT_INGESTED
MACRO_SINGAPORE,GLOBAL_MACRO,SINGAPORE,Growth/inflation/policy/rates/credit/FX/external/fiscal core,SG_MAS/SG_SINGSTAT,GLOBAL_IMF/GLOBAL_BIS,P1,YES,MONTHLY/QUARTERLY/DAILY,AUTO_FETCH,,Cross-market transfer + local overlays,"Fetch only domains with reliable history; mark missing families DATA_DEBT, not neutral.",DATA_DEBT_NOT_INGESTED
ID_MACRO,INDONESIA,INDONESIA,GDP/CPI/trade/labor/industry,ID_BPS/ID_BI,,P0,YES,MONTHLY/QUARTERLY,AUTO_FETCH,,Indonesia state/local risk,,DATA_DEBT_NOT_INGESTED
ID_RATES_FX,INDONESIA,INDONESIA,Policy/JISDOR/reserves/external debt/financial,ID_BI,,P0,YES,DAILY/MONTHLY,AUTO_FETCH,,Indonesia rates/FX/local risk,,DATA_DEBT_NOT_INGESTED
ID_BANK_CREDIT,INDONESIA,INDONESIA,Banking/credit/NPL/loan growth,ID_OJK/ID_BI,,P0,YES,MONTHLY,AUTO_FETCH,,Credit/local risk,,DATA_DEBT_NOT_INGESTED
ID_MARKET_STATS,INDONESIA,INDONESIA,IDX market statistics/issuer actions,ID_IDX/ID_OJK,,P0,YES,DAILY/MONTHLY,AUTO_FETCH,,Ticker liquidity/market structure,,DATA_DEBT_NOT_INGESTED
ID_OWNERSHIP_FLOW,INDONESIA,INDONESIA,Ownership/foreign-local/investor structure,ID_KSEI/ID_IDX,,P0,YES,DAILY/MONTHLY,AUTO_FETCH,,Capital formation/ticker validation,,DATA_DEBT_NOT_INGESTED
ID_FDI,INDONESIA,INDONESIA,FDI/investment realization by sector/location,ID_BKPM/ID_BPS,,P0,YES,QUARTERLY,AUTO_FETCH,,Industrial property/bottleneck thesis,,DATA_DEBT_NOT_INGESTED
ID_COMPANY_FILINGS,INDONESIA,INDONESIA,IDX issuer financials/corporate actions,ID_IDX/ID_OJK,,P0,YES,QUARTERLY/EVENT,AUTO_FETCH,,Company thesis,,DATA_DEBT_NOT_INGESTED
CN_RESERVE_GOLD,CHINA,CHINA,Official reserve assets including gold holdings,CN_SAFE,GLOBAL_IMF,P0,YES,MONTHLY,AUTO_FETCH,,Gold reality reconciliation,,DATA_DEBT_NOT_INGESTED
CN_MONETARY_CREDIT,CHINA,CHINA,PBOC money/credit/social financing/rates,CN_PBOC,GLOBAL_IMF,P0,YES,MONTHLY,AUTO_FETCH,,China state/gold/copper/global liquidity,,DATA_DEBT_NOT_INGESTED
CN_MACRO_PROPERTY,CHINA,CHINA,GDP/CPI/PPI/industry/property/retail,CN_NBS,GLOBAL_IMF,P0,YES,MONTHLY/QUARTERLY,AUTO_FETCH,,China state,,DATA_DEBT_NOT_INGESTED
CN_CUSTOMS,CHINA,CHINA,Commodity imports/exports and trade,CN_GACC,GLOBAL_IMF,P0,YES,MONTHLY,AUTO_FETCH,,Physical commodities/gold/copper/oil,,DATA_DEBT_NOT_INGESTED
CN_GOLD_MARKET,CHINA,CHINA,Shanghai gold turnover/delivery/published market data,CN_SGE,GLOBAL_IMF,P0,YES,DAILY/MONTHLY,AUTO_FETCH,,Gold physical/capital formation,,DATA_DEBT_NOT_INGESTED
ENERGY_PHYSICAL,PHYSICAL,GLOBAL/US,Oil/gas inventories/production/refinery/power,US_EIA,OPEC/JODI where legally accessible,P0,YES,WEEKLY/MONTHLY,AUTO_FETCH,,Oil/gas/power thesis,,DATA_DEBT_NOT_INGESTED
AGRI_PHYSICAL,PHYSICAL,GLOBAL/US,Crop production/inventory/export,US_USDA,,P1,YES,WEEKLY/MONTHLY,AUTO_FETCH,,Agriculture thesis,,DATA_DEBT_NOT_INGESTED
MINERAL_PHYSICAL,PHYSICAL,GLOBAL,Mineral production/reserves/supply,US_USGS,National geological agencies,P1,YES,MONTHLY/ANNUAL,AUTO_FETCH,,Copper/miner/critical minerals,,DATA_DEBT_NOT_INGESTED
FUTURES_POSITIONING,POSITIONING,GLOBAL,Commodity/FX/rates futures positioning,US_CFTC,,P0,YES,WEEKLY,AUTO_FETCH,,Capital formation / crowding,,DATA_DEBT_NOT_INGESTED
FUTURES_OI_INVENTORY,MARKET_PHYSICAL,GLOBAL,Official futures OI/inventory/public warehouse reports,CME,Exchange official,P1,YES,DAILY/WEEKLY,AUTO_FETCH,,Physical/futures reality check,Respect licensing; public reports only unless entitled.,DATA_DEBT_NOT_INGESTED
GOLD_PHYSICAL,GOLD,GLOBAL/CHINA,Official reserves + exchange/vault/physical market evidence,CN_SAFE/CN_SGE/LBMA/CME,USGS/customs,P0,YES,DAILY/MONTHLY,AUTO_FETCH,,Gold reality reconciliation,Demand != bottleneck; prove supply constraints separately.,DATA_DEBT_NOT_INGESTED
SHIPPING_PUBLIC,SHIPPING,GLOBAL,Public trade/fleet/shipping context,GLOBAL_UNCTAD,EIA/customs/ports,P2,PARTIAL,MONTHLY/ANNUAL,AUTO_FETCH,,Shipping context,,DATA_DEBT_NOT_INGESTED
SHIPPING_HIGH_FREQ,SHIPPING,GLOBAL,AIS/freight/war-insurance high-frequency,AIS_PROVIDER/BALTIC_EXCHANGE,,P2,YES,DAILY,DATA_DEBT,,Shipping bottleneck,Paid/licensed unless entitlement exists.,DATA_DEBT_NOT_INGESTED
OPTIONS_FULL_SURFACE,OPTIONS,US/GLOBAL,Full option surface/dealer positioning,OPRA_OPTIONS/US_CBOE/CME,,P2,YES,INTRADAY/DAILY,DATA_DEBT,,Pricing/dealer microstructure,Do not fake unavailable dealer data.,DATA_DEBT_NOT_INGESTED
CRYPTO_TVL_STABLECOIN,CRYPTO,GLOBAL,TVL/stablecoins/protocol data,DEFI_LLAMA,COINMETRICS_COMMUNITY,P1,YES,DAILY,AUTO_FETCH,,Crypto system state,,DATA_DEBT_NOT_INGESTED
CRYPTO_ONCHAIN,CRYPTO,GLOBAL,BTC/ETH on-chain supply/cohort/miner/realized metrics,COINMETRICS_COMMUNITY,Chain-native APIs,P1,YES,DAILY,AUTO_FETCH,,BTC/ETH thesis,,DATA_DEBT_NOT_INGESTED
CRYPTO_DERIVATIVES,CRYPTO,GLOBAL,Funding/basis/OI/liquidations/vol surface,Exchange official APIs,Licensed aggregators,P1,YES,INTRADAY/DAILY,AUTO_FETCH,,Crypto positioning/pricing,Use exchange APIs where possible; paid aggregator only if needed.,DATA_DEBT_NOT_INGESTED
COPPER_HISTORICAL_PHYSICAL,INDUSTRIAL_METALS,GLOBAL,Copper consumption/inventory/income/aluminum price historical factual snapshot,STATSMODELS_PACKAGED_HISTORICAL,Official exchange/industry refresh required,P1,PARTIAL,HISTORICAL,IN_BUNDLE,data/factual/copper.csv,Copper physical-demand and asset-transmission method tests,Small annual sample; scope-limited only,FACTUAL_SNAPSHOT_SCOPE_LIMITED
DENMARK_MACRO_REPLICATION,MACRO_CROSS_COUNTRY,DENMARK,Money/income/prices/rates factual historical replication,STATSMODELS_PACKAGED_HISTORICAL,Official Denmark/BIS refresh required,P2,PARTIAL,HISTORICAL,IN_BUNDLE,data/factual/danish_data.csv,Cross-country method replication,"Historical snapshot, not current production feed",FACTUAL_SNAPSHOT_SCOPE_LIMITED
