engine_id,category,target,valid_roles,status,canonical
PHYSICAL_SUPPLY_DEMAND,PHYSICAL,future supply/demand imbalance,PHYSICAL_CONSTRAINT|STATE,DATA_DEBT_OR_PROSPECTIVE,True
BOTTLENECK_CAPACITY,PHYSICAL,future capacity constraint,BOTTLENECK|SCENARIO_DISCRIMINATOR,DATA_DEBT_OR_PROSPECTIVE,True
US_ECONOMIC_STATE,COUNTRY,US state vector,STATE,DATA_DEBT_OR_PROSPECTIVE,True
CHINA_ECONOMIC_STATE,COUNTRY,China state vector,STATE,DATA_DEBT_OR_PROSPECTIVE,True
INDONESIA_ECONOMIC_STATE,COUNTRY,Indonesia state vector,STATE,DATA_DEBT_OR_PROSPECTIVE,True
JAPAN_ECONOMIC_STATE,COUNTRY,Japan state vector,STATE,DATA_DEBT_OR_PROSPECTIVE,True
EUROZONE_ECONOMIC_STATE,COUNTRY,Eurozone state vector,STATE,DATA_DEBT_OR_PROSPECTIVE,True
CRYPTO_SYSTEM_LIQUIDITY,CRYPTO,crypto liquidity/funding state,STATE|FRAGILITY,DATA_DEBT_OR_PROSPECTIVE,True
BTC_MACRO_DRIVER,CRYPTO,BTC payoff from macro/non-price drivers,ASSET_DRIVER,DATA_DEBT_OR_PROSPECTIVE,True
ETH_PLATFORM_ECONOMICS,CRYPTO,ETH/platform fundamental state,STATE|ASSET_DRIVER,DATA_DEBT_OR_PROSPECTIVE,True
STABLECOIN_LIQUIDITY,CRYPTO,stablecoin supply/liquidity state,STATE|FLOW,DATA_DEBT_OR_PROSPECTIVE,True
SCENARIO_DISCOVERY,SCENARIO,competing causal scenarios,SCENARIO_DISCRIMINATOR,ACCEPTANCE_TESTED,True
SCENARIO_PROBABILITY,SCENARIO,calibrated scenario probability,SCENARIO_DISCRIMINATOR,DATA_DEBT_OR_PROSPECTIVE,True
SCENARIO_TIMING,SCENARIO,scenario start/materialization timing,SCENARIO_DISCRIMINATOR,DATA_DEBT_OR_PROSPECTIVE,True
SCENARIO_DURATION,SCENARIO,scenario persistence/duration,SCENARIO_DISCRIMINATOR,DATA_DEBT_OR_PROSPECTIVE,True
ASSET_TRANSMISSION,DECISION,conditional asset payoff distribution,ASSET_DRIVER,DATA_DEBT_OR_PROSPECTIVE,True
PRICED_IN,DECISION,probability thesis not fully priced,PRICED_IN_CONTEXT,DATA_DEBT_OR_PROSPECTIVE,True
TICKER_QUALIFICATION,TICKER,company mechanism qualification,TICKER_FILTER,DATA_DEBT_OR_PROSPECTIVE,True
TICKER_FILTER_VALIDATION,TICKER,incremental filter value,TICKER_FILTER,DATA_DEBT_OR_PROSPECTIVE,True
TICKER_RANKING,TICKER,PIT rank outcome,TICKER_FILTER,DATA_DEBT_OR_PROSPECTIVE,True
EXPECTED_VALUE,DECISION,net expected value,DECISION,DATA_DEBT_OR_PROSPECTIVE,True
PORTFOLIO_RISK,PORTFOLIO,portfolio scenario/tail exposure,PORTFOLIO_RISK,DATA_DEBT_OR_PROSPECTIVE,True
PORTFOLIO_SIZING,PORTFOLIO,risk/capacity-aware sizing,PORTFOLIO_RISK,DATA_DEBT_OR_PROSPECTIVE,True
RECOVERY_EXIT_REENTRY,PORTFOLIO,exit/reentry state,RECOVERY|REENTRY,DATA_DEBT_OR_PROSPECTIVE,True
MARKET_STRUCTURE_TIMING,EXECUTION,short-horizon volatility/execution context only,MARKET_STRUCTURE_TIMING_MODIFIER|EXECUTION_CONTEXT,ACCEPTANCE_TESTED,True
