metric_id,family,metric_name,geography,source_id,source_series_or_dataset,frequency,candidate_roles,notes,data_origin,scientific_status,tests_completed,tests_pending
US_M2,LIQUIDITY,M2 Money Stock,US,US_FRED,M2SL,M,MONEY|CONTEXT,Test transformations/lag; not standalone alpha.,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_TDSP,HOUSEHOLD,Household Debt Service Ratio,US,US_FRED/US_NYFED,TDSP,Q,HOUSEHOLD_STRESS|FRAGILITY,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_VIX,MARKET_IMPLIED,VIX,US,US_CBOE/US_FRED,VIXCLS,D,ACUTE_STRESS|PRICING|RECOVERY,Not automatically predictive.,FACTUAL_LOCAL_LEGACY_SOURCE,HISTORICALLY_TESTED_US_ONLY,vix_avg|vix_max|vix_expanding_pct|vix_chg_3m,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_DOLLAR_BROAD,FX,Broad Trade Weighted U.S. Dollar Index,US,US_FRED,DTWEXBGS,D,USD_STATE|CROSS_ASSET,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_USDJPY,FX,JPY per USD / related official FX series,US/JAPAN,US_FRED/JP_MOF,DEXJPUS,D,FX_STATE|INTERVENTION_CONTEXT,Confirm quote convention before use.,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_SLOOS,CREDIT,Senior Loan Officer Opinion Survey,US,US_FED_SLOOS,SLOOS datasets,Q,CREDIT_AVAILABILITY|CRASH_WARNING,Use individual lending-standard/demand series.,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_FISCALDATA,FISCAL,Debt/deficit/TGA/interest/auction datasets,US,US_TREASURY_FISCALDATA,Fiscal Data API datasets,D/M,FISCAL|RATES|LIQUIDITY,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_COT,POSITIONING,CFTC Commitments of Traders,US/GLOBAL,US_CFTC,COT PRE datasets,W,POSITIONING|CROWDING|CAPITAL_FORMATION,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_COMPANYFACTS,CORPORATE,SEC Company Facts + Submissions,US,US_SEC,companyfacts.zip + submissions.zip,RT/D,COMPANY_FUNDAMENTALS|PIT,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_EIA_PETROLEUM,PHYSICAL,Petroleum supply/inventory/refinery,US/GLOBAL,US_EIA,EIA v2 petroleum API,W/M,OIL_PHYSICAL|BOTTLENECK,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_EIA_POWER,PHYSICAL,Electricity demand/generation/capability,US,US_EIA,EIA v2 electricity API,H/M,POWER_STATE|AI_INFRA,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
CN_SAFE_GOLD,GOLD,China official gold reserve assets,CHINA,CN_SAFE,Official Reserve Assets,M,REALITY_CHECK|CAPITAL_FORMATION,Mandatory gold acceptance case.,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
CN_PBOC_CREDIT,CHINA,China money/credit/TSF/rates,CHINA,CN_PBOC,Monetary/financial statistics,M,CHINA_STATE|LIQUIDITY,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
CN_NBS_CORE,CHINA,GDP/CPI/PPI/industry/property/retail,CHINA,CN_NBS,National data releases,M/Q,CHINA_STATE,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
CN_CUSTOMS_COMMO,PHYSICAL,China commodity imports/exports,CHINA,CN_GACC,Customs trade datasets,M,PHYSICAL_DEMAND|REALITY_CHECK,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
CN_SGE_GOLD,GOLD,Shanghai Gold Exchange official market data,CHINA,CN_SGE,Published gold market data,D/M,PHYSICAL_GOLD|CAPITAL_FORMATION,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
ID_BI_SEKI,INDONESIA,SEKI macro/financial data,INDONESIA,ID_BI,SEKI,M,ID_STATE|FX|CREDIT,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
ID_BPS_CORE,INDONESIA,GDP/CPI/trade/labor/industry,INDONESIA,ID_BPS,BPS statistics,M/Q,ID_STATE,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
ID_OJK_BANK,INDONESIA,Banking/credit/NPL/capital market,INDONESIA,ID_OJK,OJK statistics,M,ID_CREDIT|LOCAL_RISK,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
ID_IDX_STATS,INDONESIA,IDX market/issuer statistics,INDONESIA,ID_IDX,IDX statistical reports,D/M,LIQUIDITY|MARKET_STRUCTURE|TICKER,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
ID_KSEI_OWNER,INDONESIA,Investor/ownership information,INDONESIA,ID_KSEI,KSEI publications,M/EVENT,CAPITAL_FORMATION|OWNERSHIP,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
ID_BKPM_FDI,INDONESIA,Investment realization/FDI,INDONESIA,ID_BKPM,Investment Realization,Q,FDI|INDUSTRIAL_PROPERTY|BOTTLENECK,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
GLOBAL_BIS_CREDIT,GLOBAL,Cross-country credit/global liquidity,GLOBAL,GLOBAL_BIS,BIS Data Portal datasets,Q,GLOBAL_CREDIT|TRANSFER,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
GLOBAL_IMF_CORE,GLOBAL,GDP/inflation/BOP/fiscal/external,GLOBAL,GLOBAL_IMF,IMF SDMX datasets,M/Q/A,GLOBAL_STATE|LOCAL_OVERLAY,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
GLOBAL_OECD_CLI,GLOBAL,OECD CLI / quarterly national accounts,GLOBAL,GLOBAL_OECD,OECD Data Explorer,M/Q,GROWTH|TRANSFER,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
CRYPTO_LLAMA,CRYPTO,TVL/stablecoins/protocol activity,GLOBAL,DEFI_LLAMA,API,D,CRYPTO_LIQUIDITY|CAPITAL_FORMATION,Secondary source; validate definitions.,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
CRYPTO_COINMETRICS,CRYPTO,On-chain network/market metrics,GLOBAL,COINMETRICS_COMMUNITY,Community API,D,CRYPTO_STATE|ASSET_THESIS,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
LOCAL_SHILLER_CAPE,VALUATION,Shiller CAPE,US,LEGACY_SHILLER,PE10,M,FRAGILITY|CONTEXT,Factual legacy Shiller series,FACTUAL_LOCAL_LEGACY_SOURCE,HISTORICALLY_TESTED_US_ONLY,see experiment ledger,cross-market|PIT-vintage enhancement
LOCAL_SHILLER_EARNINGS,CORPORATE,Shiller earnings,US,LEGACY_SHILLER,Earnings,M,STATE|FRAGILITY,Factual legacy Shiller series,FACTUAL_LOCAL_LEGACY_SOURCE,HISTORICALLY_TESTED_US_ONLY,see experiment ledger,cross-market|PIT-vintage enhancement
LOCAL_SHILLER_DIVIDEND,CORPORATE,Shiller dividend,US,LEGACY_SHILLER,Dividend,M,STATE|FRAGILITY,Factual legacy Shiller series,FACTUAL_LOCAL_LEGACY_SOURCE,HISTORICALLY_TESTED_US_ONLY,see experiment ledger,cross-market|PIT-vintage enhancement
